 Frequency (Hz)	 Amplitude (Vpp)	 Gain (dB)	 Phase (°)
10.0	0.2000	20.40	-6.77
11.5	0.2000	20.31	-7.70
13.2	0.2000	20.29	-8.87
15.1	0.2000	20.23	-10.09
17.4	0.2000	20.18	-11.66
20.0	0.2000	20.10	-13.32
22.9	0.2000	20.02	-15.14
26.3	0.2000	19.93	-17.23
30.2	0.2000	19.79	-19.52
34.7	0.2000	19.59	-21.99
39.8	0.2000	19.37	-24.70
45.7	0.2000	19.07	-27.65
52.5	0.2000	18.69	-30.68
60.3	0.2000	18.29	-33.79
69.2	0.2000	17.79	-36.88
79.4	0.2000	17.22	-39.94
91.2	0.2000	16.57	-42.90
104.7	0.2000	15.84	-45.58
120.2	0.2000	15.03	-47.98
138.0	0.2000	14.19	-50.01
158.5	0.2000	13.31	-51.55
182.0	0.2000	12.37	-52.65
208.9	0.2000	11.43	-53.28
239.9	0.2000	10.46	-53.45
275.4	0.2000	9.49	-53.05
316.2	0.2000	8.59	-52.19
363.1	0.2000	7.69	-50.83
416.9	0.2000	6.83	-49.05
478.6	0.2000	5.98	-46.78
549.5	0.2000	5.21	-44.26
631.0	0.2000	4.50	-41.46
724.4	0.2000	3.87	-38.42
831.8	0.2000	3.33	-35.28
955.0	0.2000	2.83	-32.08
1096.5	0.2000	2.42	-28.89
1258.9	0.2000	2.07	-25.77
1445.4	0.2000	1.79	-22.73
1659.6	0.2000	1.57	-19.89
1905.5	0.2000	1.37	-17.19
2187.8	0.2000	1.22	-14.55
2511.9	0.2000	1.10	-12.20
2884.0	0.2000	1.00	-9.95
3311.3	0.2000	0.93	-7.79
3801.9	0.2000	0.86	-5.77
4365.2	0.2000	0.83	-3.75
5011.9	0.2000	0.83	-1.63
5754.4	0.2000	0.82	0.29
6606.9	0.2000	0.81	2.37
7585.8	0.2000	0.83	3.96
8709.6	0.2000	0.90	6.19
10000.0	0.2000	0.92	8.02
11481.5	0.2000	0.99	9.67
13182.6	0.2000	1.11	11.99
15135.6	0.2000	1.24	14.30
17378.0	0.2000	1.28	16.12
19952.6	0.2000	1.51	18.27
22908.7	0.2000	1.66	20.58
26302.7	0.2000	1.82	22.71
30199.5	0.2000	1.87	24.39
34673.7	0.2000	2.33	28.12
39810.7	0.2000	2.64	30.34
45708.8	0.2000	2.97	32.22
52480.7	0.2000	3.41	35.28
60256.0	0.2000	3.75	37.88
69183.1	0.2000	4.28	39.46
79432.8	0.2000	4.84	42.04
91201.1	0.2000	5.58	44.72
104712.9	0.2000	5.97	45.83
120226.4	0.2000	7.26	47.52
138038.4	0.2000	8.25	47.53
158489.3	0.2000	9.03	49.32
181970.1	0.2000	9.71	48.87
208929.6	0.2000	11.48	47.97
239883.3	0.2000	12.37	46.59
275422.9	0.2000	13.06	44.13
316227.8	0.2000	13.92	41.32
363078.1	0.2000	14.71	37.39
416869.4	0.2000	15.79	32.23
478630.1	0.2000	16.44	28.08
549540.9	0.2000	16.92	23.00
630957.3	0.2000	17.56	16.85
724436.0	0.2000	18.44	6.99
831763.8	0.2000	18.45	4.33
954992.6	0.2000	18.38	-0.05
1096478.2	0.2000	18.58	-7.11
1258925.4	0.2000	18.87	-16.28
1445439.8	0.2000	18.97	-23.13
1659586.9	0.2000	18.85	-30.58
1905460.7	0.2000	18.80	-39.49
2187761.6	0.2000	18.61	-46.65
2511886.4	0.2000	18.41	-59.97
2884031.5	0.2000	18.08	-71.10
3311311.2	0.2000	17.74	-82.02
3801894.0	0.2000	17.33	-94.26
4365158.3	0.2000	16.64	-109.24
5011872.3	0.2000	15.86	-125.90
5754399.4	0.2000	14.56	-145.87
6606934.5	0.2000	12.99	-166.37
7585775.8	0.2000	10.89	171.97
8709635.9	0.2000	8.45	151.35
10000000.0	0.2000	5.69	132.69
