 Frequency (Hz)	 Amplitude (Vpp)	 Gain (dB)	 Phase (°)
10.0	0.2000	20.11	-0.34
11.5	0.2000	20.10	-0.33
13.2	0.2000	20.08	-0.30
15.1	0.2000	20.08	-0.29
17.4	0.2000	20.07	-0.29
20.0	0.2000	20.11	-0.29
22.9	0.2000	20.09	-0.23
26.3	0.2000	20.08	-0.23
30.2	0.2000	20.09	-0.23
34.7	0.2000	20.09	-0.18
39.8	0.2000	20.09	-0.18
45.7	0.2000	20.10	-0.11
52.5	0.2000	20.11	-0.08
60.3	0.2000	20.09	-0.05
69.2	0.2000	20.11	-0.04
79.4	0.2000	20.10	0.00
91.2	0.2000	20.10	0.00
104.7	0.2000	20.11	0.02
120.2	0.2000	20.11	0.00
138.0	0.2000	20.11	0.01
158.5	0.2000	20.11	0.06
182.0	0.2000	20.12	0.00
208.9	0.2000	20.11	0.05
239.9	0.2000	20.12	0.00
275.4	0.2000	20.12	-0.01
316.2	0.2000	20.12	0.00
363.1	0.2000	20.11	-0.02
416.9	0.2000	20.11	-0.05
478.6	0.2000	20.11	-0.06
549.5	0.2000	20.12	-0.05
631.0	0.2000	20.11	-0.06
724.4	0.2000	20.11	-0.12
831.8	0.2000	20.12	-0.07
955.0	0.2000	20.12	-0.16
1096.5	0.2000	20.11	-0.17
1258.9	0.2000	20.11	-0.17
1445.4	0.2000	20.11	-0.23
1659.6	0.2000	20.11	-0.23
1905.5	0.2000	20.11	-0.27
2187.8	0.2000	20.11	-0.30
2511.9	0.2000	20.11	-0.41
2884.0	0.2000	20.11	-0.41
3311.3	0.2000	20.12	-0.46
3801.9	0.2000	20.12	-0.58
4365.2	0.2000	20.11	-0.69
5011.9	0.2000	20.12	-0.74
5754.4	0.2000	20.12	-0.86
6606.9	0.2000	20.12	-0.98
7585.8	0.2000	20.11	-1.14
8709.6	0.2000	20.11	-1.32
10000.0	0.2000	20.11	-1.49
11481.5	0.2000	20.10	-1.72
13182.6	0.2000	20.11	-1.94
15135.6	0.2000	20.09	-2.23
17378.0	0.2000	20.09	-2.57
19952.6	0.2000	20.08	-2.92
22908.7	0.2000	20.07	-3.33
26302.7	0.2000	20.05	-3.72
30199.5	0.2000	20.05	-4.30
34673.7	0.2000	20.03	-4.85
39810.7	0.2000	20.01	-5.49
45708.8	0.2000	19.99	-6.31
52480.7	0.2000	19.98	-7.05
60256.0	0.2000	19.95	-8.00
69183.1	0.2000	19.93	-9.09
79432.8	0.2000	19.90	-10.43
91201.1	0.2000	19.85	-11.92
104712.9	0.2000	19.80	-13.62
120226.4	0.2000	19.73	-15.49
138038.4	0.2000	19.66	-17.57
158489.3	0.2000	19.54	-20.05
181970.1	0.2000	19.41	-22.74
208929.6	0.2000	19.24	-25.88
239883.3	0.2000	19.01	-29.26
275422.9	0.2000	18.74	-32.83
316227.8	0.2000	18.40	-36.87
363078.1	0.2000	17.99	-41.11
416869.4	0.2000	17.50	-45.36
478630.1	0.2000	16.92	-50.13
549540.9	0.2000	16.21	-54.81
630957.3	0.2000	15.48	-59.32
724436.0	0.2000	14.66	-63.95
831763.8	0.2000	13.75	-68.44
954992.6	0.2000	12.80	-72.73
1096478.2	0.2000	11.79	-77.11
1258925.4	0.2000	10.73	-81.28
1445439.8	0.2000	9.59	-85.25
1659586.9	0.2000	8.50	-89.35
1905460.7	0.2000	7.33	-93.35
2187761.6	0.2000	6.10	-97.52
2511886.4	0.2000	4.82	-101.62
2884031.5	0.2000	3.53	-105.88
3311311.2	0.2000	2.21	-110.29
3801894.0	0.2000	0.78	-114.84
4365158.3	0.2000	-0.58	-120.50
5011872.3	0.2000	-1.99	-124.51
5754399.4	0.2000	-3.42	-129.81
6606934.5	0.2000	-4.82	-134.90
7585775.8	0.2000	-6.26	-140.74
8709635.9	0.2000	-7.44	-146.13
10000000.0	0.2000	-8.48	-151.96
