*Input voltage 	AM1
0.1	8.72053370818118E-9
0.114	1.23645422522726E-8
0.128	1.73743425993395E-8
0.142	2.42616032740355E-8
0.156	3.37294675214137E-8
0.17	4.67440174417265E-8
0.184	6.46322428895333E-8
0.198	8.92161962917763E-8
0.212	1.22996418271775E-7
0.226	1.69402201199751E-7
0.24	2.33132052464885E-7
0.254	3.20615005172382E-7
0.268	4.40632190423624E-7
0.282	6.05147866938548E-7
0.296	8.3040849330462E-7
0.31	1.13837424596502E-6
0.324	1.55854339412529E-6
0.338	2.130205144738E-6
0.352	2.90509366105397E-6
0.366	3.95029172981257E-6
0.38	5.35102430931469E-6
0.394	7.21268663298264E-6
0.408	9.661121125909E-6
0.422	1.28399446845905E-5
0.436	1.6903893132761E-5
0.45	2.20079513098494E-5
0.464	2.82934687124938E-5
0.478	3.58739966006595E-5
0.492	4.48243024885903E-5
0.506	5.5175263151705E-5
0.52	6.69153778492127E-5
0.534	7.99975671875919E-5
0.548	9.43487661324067E-5
0.562	0.00010987985220476
0.576	0.000126494237509308
0.59	0.000144094388012154
0.604	0.000162586233603172
0.618	0.000181881804547214
0.632000000000001	0.000201900546048377
0.646000000000001	0.000222569734020234
0.660000000000001	0.000243824328800047
0.674000000000001	0.000265606509513033
0.688000000000001	0.000287865051905153
0.702000000000001	0.000310554652401994
0.716000000000001	0.000333635259291042
0.730000000000001	0.000357071444295328
0.744000000000001	0.000380831830375603
0.758000000000001	0.000404888581078789
0.772000000000001	0.000429216950728377
0.786000000000001	0.000453794891560255
0.800000000000001	0.000478602712439144
0.814000000000001	0.000503622783334917
0.828000000000001	0.000528839279847835
0.842000000000001	0.000554237926387165
0.856000000000001	0.000579805954407725
0.870000000000001	0.000605531706167292
0.884000000000001	0.000631404651647595
0.898000000000001	0.000657415222936617
0.912000000000001	0.000683554706427241
0.926000000000001	0.000709815148916042
0.940000000000001	0.000736189275634008
0.954000000000001	0.000762670418533046
0.968000000000001	0.000789252453402239
0.982000000000001	0.000815929744600153
0.996000000000001	0.000842697096369346
1.01	0.000869549709851307
1.024	0.00089648314504885
1.038	0.000923493287091622
1.052	0.000950576316252603
1.066	0.000977728681241419
1.08	0.00100494707536651
1.094	0.00103222841521444
1.108	0.00105956982154227
1.122	0.00108696860212023
1.136	0.001114422236296
1.15	0.00114192836108245
1.164	0.00116948475859576
1.178	0.00119708934469312
1.192	0.00122474015867775
1.206	0.00125243535395577
1.22	0.00128017318954305
1.234	0.00130795202233275
1.248	0.00133577030004464
1.262	0.00136362655478658
1.276	0.00139151939716651
1.29	0.00141944751090037
1.304	0.00144740964786741
1.318	0.00147540462356986
1.332	0.00150343131295831
1.346	0.00153148864658876
1.36	0.00155957560708048
1.374	0.00158769122584733
1.388	0.00161583458007794
1.402	0.00164400478994261
1.416	0.00167220101600715
1.43	0.00170042245683558
1.444	0.00172866834676586
1.458	0.00175693795384373
1.472	0.00178523057790188
1.486	0.00181354554877213
1.5	0.00184188222462009
 
