*Input voltage 	AM1-abs	AM1-phase
0	0	-2.50650460115811E-31
1	-1	-1.00088573163102E-9
2	-2	-1.00198571605181E-9
3	-3	-1.00299576738818E-9
4	-4	-1.00399821409409E-9
5	-5	-1.00499908538549E-9
6	-6	-1.00599947050975E-9
7	-7	-1.00699966638455E-9
8	-8	-1.00799977634702E-9
9	-9	-1.00899984277988E-9
10	-10	-1.00999988525754E-9
11	-11	-1.01099991367377E-9
12	-12	-1.01199993339719E-9
13	-13	-1.01299994751308E-9
14	-14	-1.01399995788065E-9
15	-15	-1.01499996566584E-9
16	-16	-1.01599997162508E-9
17	-17	-1.01699997626377E-9
18	-18	-1.0179999799283E-9
19	-19	-1.01899998286153E-9
20	-20	-1.01999998523713E-9
21	-21	-1.02099998718153E-9
22	-22	-1.02199998878828E-9
23	-23	-1.02299999012758E-9
24	-24	-1.02399999125282E-9
25	-25	-1.02499999220511E-9
26	-26	-1.02599999301643E-9
27	-27	-1.0269999937119E-9
28	-28	-1.02799999431149E-9
29	-29	-1.02899999483115E-9
30	-30	-1.02999999528376E-9
31	-31	-1.03099999567978E-9
32	-32	-1.03199999602778E-9
33	-33	-1.03299999633482E-9
34	-34	-1.03399999660674E-9
35	-35	-1.03499999684841E-9
36	-36	-1.03599999706392E-9
37	-37	-1.03699999725672E-9
38	-38	-1.0379999974297E-9
39	-39	-1.03899999758534E-9
40	-40	-1.03999999772576E-9
41	-41	-1.04099999785278E-9
42	-42	-1.04199999796793E-9
43	-43	-1.04299999807258E-9
44	-44	-1.0439999981679E-9
45	-45	-1.04499999825488E-9
46	-46	-1.04599999833443E-9
47	-47	-1.04699999840731E-9
48	-48	-1.0479999984742E-9
49	-49	-1.04899999853571E-9
50	-50	-1.04999999859236E-9
51	-51	-1.05099999864461E-9
52	-52	-1.05199999869289E-9
53	-53	-1.05299999873756E-9
54	-54	-1.05399999877894E-9
55	-55	-1.05499999881734E-9
56	-56	-1.05599999885301E-9
57	-57	-1.05699999888619E-9
58	-58	-1.05799999891709E-9
59	-59	-1.05899999894589E-9
60	-60	-1.05999999897278E-9
61	-61	-1.0609999989979E-9
62	-62	-1.0619999990214E-9
63	-63	-1.0629999990434E-9
64	-64	-1.06399999906402E-9
65	-65	-1.06499999908336E-9
66	-66	-1.06599999910152E-9
67	-67	-1.06699999911858E-9
68	-68	-1.06799999913463E-9
69	-69	-1.06899999914973E-9
70	-70	-1.06999999916396E-9
71	-71	-1.07099999917736E-9
72	-72	-1.07199999919001E-9
73	-73	-1.07299999920195E-9
74	-74	-1.07399999921323E-9
75	-75	-3.32778469977015E-9
76	-76	-0.0017073072349326
77	-77	-0.00380934489521166
78	-78	-0.00592290918257846
79	-79	-0.00804080332177548
80	-80	-0.0101609849439359
81	-81	-0.0122825835701099
82	-82	-0.0144051467744138
83	-83	-0.0165284091719359
84	-84	-0.0186522017241436
85	-85	-0.0207764101098482
86	-86	-0.0229009533991758
87	-87	-0.0250257721986815
88	-88	-0.0271508216305786
89	-89	-0.0292760669578318
90	-90	-0.0314014807424247
91	-91	-0.0335270409339798
92	-92	-0.0356527295458381
93	-93	-0.0377785317140776
94	-94	-0.0399044350142295
95	-95	-0.0420304289552033
96	-96	-0.0441565045977274
97	-97	-0.0462826542628004
98	-98	-0.0484088713054265
99	-99	-0.0505351499229557
100	-100	-0.0526614850719288
 
