*Input voltage 	AM1-abs	AM1-phase
0	0	-2.50650460115811E-31
0.05	-0.05	-6.79319625951599E-10
0.1	-0.1	-8.97232534302062E-10
0.15	-0.15	-9.66292584664568E-10
0.2	-0.2	-9.85916433092662E-10
0.25	-0.25	-9.92936823390872E-10
0.3	-0.3	-9.9606784130025E-10
0.35	-0.35	-9.97684852089086E-10
0.4	-0.4	-9.98614559850321E-10
0.45	-0.45	-9.99196028665565E-10
0.5	-0.5	-9.99585855054943E-10
0.55	-0.55	-9.99863189431158E-10
0.6	-0.6	-1.00007098098435E-9
0.65	-0.65	-1.00023391219175E-9
0.7	-0.7	-1.00036685676727E-9
0.75	-0.75	-1.00047914216152E-9
0.8	-0.8	-1.00057681996173E-9
0.85	-0.85	-1.00066393329402E-9
0.9	-0.9	-1.00074325341654E-9
0.95	-0.95	-1.00081672306711E-9
1	-1	-1.00088573163102E-9
1.05	-1.05	-1.00095129062909E-9
1.1	-1.1	-1.00101414837706E-9
1.15	-1.15	-1.00107486654515E-9
1.2	-1.2	-1.00113387228889E-9
1.25	-1.25	-1.00119149438187E-9
1.3	-1.3	-1.00124798866851E-9
1.35	-1.35	-1.00130355626086E-9
1.4	-1.4	-1.00135835672595E-9
1.45	-1.45	-1.00141251776343E-9
1.5	-1.5	-1.00146614239009E-9
1.55	-1.55	-1.00151931433136E-9
1.6	-1.6	-1.00157210210783E-9
1.65	-1.65	-1.00162456216159E-9
1.7	-1.7	-1.00167674126904E-9
1.75	-1.75	-1.00172867841814E-9
1.8	-1.8	-1.00178040628037E-9
1.85	-1.85	-1.00183195237307E-9
1.9	-1.9	-1.00188333998366E-9
1.95	-1.95	-1.00193458890921E-9
2	-2	-1.00198571605181E-9
2.05	-2.05	-1.00203673590071E-9
2.1	-2.1	-1.00208766092474E-9
2.15	-2.15	-1.00213850189357E-9
2.2	-2.2	-1.00218926814179E-9
2.25	-2.25	-1.00223996778713E-9
2.3	-2.3	-1.00229060791164E-9
2.35	-2.35	-1.00234119471254E-9
2.4	-2.4	-1.00239173362866E-9
2.45	-2.45	-1.00244222944644E-9
2.5	-2.5	-1.0024926863895E-9
2.55	-2.55	-1.00254310819436E-9
2.6	-2.6	-1.00259349817469E-9
2.65	-2.65	-1.00264385927616E-9
2.7	-2.7	-1.0026941941232E-9
2.75	-2.75	-1.00274450505918E-9
2.8	-2.8	-1.00279479418088E-9
2.85	-2.85	-1.00284506336827E-9
2.9	-2.9	-1.00289531431018E-9
2.95	-2.95	-1.00294554852663E-9
3	-3	-1.00299576738818E-9
3.05	-3.05	-1.00304597213278E-9
3.1	-3.1	-1.00309616388055E-9
3.15	-3.15	-1.00314634364659E-9
3.2	-3.2	-1.00319651235235E-9
3.25	-3.25	-1.00324667083554E-9
3.3	-3.3	-1.00329681985885E-9
3.35	-3.35	-1.00334696011771E-9
3.4	-3.4	-1.00339709224709E-9
3.45	-3.45	-1.00344721682753E-9
3.5	-3.5	-1.00349733439055E-9
3.55	-3.55	-1.00354744542336E-9
3.6	-3.6	-1.00359755037317E-9
3.64999999999999	-3.64999999999999	-1.00364764965089E-9
3.69999999999999	-3.69999999999999	-1.00369774363461E-9
3.74999999999999	-3.74999999999999	-1.00374783267255E-9
3.79999999999999	-3.79999999999999	-1.0037979170858E-9
3.84999999999999	-3.84999999999999	-1.00384799717078E-9
3.89999999999999	-3.89999999999999	-1.00389807320138E-9
3.94999999999999	-3.94999999999999	-1.00394814543095E-9
3.99999999999999	-3.99999999999999	-1.00399821409409E-9
4.04999999999999	-4.04999999999999	-1.00404827940824E-9
4.09999999999999	-4.09999999999999	-1.0040983415751E-9
4.14999999999999	-4.14999999999999	-1.00414840078199E-9
4.19999999999999	-4.19999999999999	-1.00419845720301E-9
4.24999999999999	-4.24999999999999	-1.00424851100009E-9
4.29999999999999	-4.29999999999999	-1.00429856232402E-9
4.34999999999999	-4.34999999999999	-1.0043486113153E-9
4.39999999999999	-4.39999999999999	-1.00439865810496E-9
4.44999999999999	-4.44999999999999	-1.0044487028153E-9
4.49999999999999	-4.49999999999999	-1.00449874556055E-9
4.54999999999999	-4.54999999999999	-1.0045487864475E-9
4.59999999999999	-4.59999999999999	-1.00459882557604E-9
4.64999999999999	-4.64999999999999	-1.00464886303969E-9
4.69999999999999	-4.69999999999999	-1.00469889892608E-9
4.74999999999999	-4.74999999999999	-1.00474893331733E-9
4.79999999999999	-4.79999999999999	-1.00479896629052E-9
4.84999999999999	-4.84999999999999	-1.00484899791798E-9
4.89999999999999	-4.89999999999999	-1.00489902826767E-9
4.94999999999999	-4.94999999999999	-1.00494905740348E-9
4.99999999999999	-4.99999999999999	-1.00499908538549E-9
 
