*Input voltage 	VM1
0	5.99999999991597
2	5.86762087348849
4	5.64938557839424
6	5.44767201281839
8	5.26303471033898
10	5.09279256180338
12	4.93450129263496
14	4.7862274278502
16	4.64646651817092
18	4.51403762058952
20	4.3880001298026
22	4.26759334450692
24	4.15219314146066
26	4.04128070482515
28	3.93441965437319
30	3.83123906139217
32	3.73142064374737
34	3.63468897089513
36	3.54080386922526
38	3.44955445928162
40	3.36075441992334
42	3.27423818685369
44	3.18985787124343
46	3.10748073948317
48	3.02698670496734
50	2.94826837792417
52	2.8712268566892
54	2.79577242471191
56	2.72182301773418
58	2.64930334342806
60	2.57814412672913
62	2.50828145966151
64	2.43965623855471
66	2.37221367474926
68	2.30590286741261
70	2.24067642911093
72	2.17649015641982
74	2.1133027391131
76	2.05107550257717
78	1.98977217892011
80	1.92935870297819
82	1.86980302998906
84	1.81107497218755
86	1.75314605197918
88	1.69598936969631
90	1.63957948418328
92	1.58389230474899
94	1.52890499319667
96	1.47459587476976
98	1.42094435722587
100	1.36793085742932
102	1.31553673643534
104	1.26374425063032
106	1.21253656164062
108	1.16189805909118
110	1.11181668130705
112	1.06230049563764
114	1.01350124251354
116	0.966568705322687
118	0.926763205805678
120	0.900458223951583
122	0.884531235889414
124	0.874035172796108
126	0.866448061138952
128	0.8605911678947
130	0.855858609798066
132	0.851907374124668
134	0.848527331379745
136	0.845580694372764
138	0.842975592932484
140	0.84064396514017
142	0.838536690731822
144	0.836616615701362
146	0.834854995615139
148	0.833229158127687
150	0.831720919195419
152	0.830315480737709
154	0.829000645125016
156	0.827766243700158
158	0.826603713287862
160	0.825505777167201
162	0.824466201164745
164	0.823479604677762
166	0.822541312477288
168	0.821647237203767
170	0.820793785256853
172	0.819977780721566
174	0.819196403348937
176	0.818447137595322
178	0.81772773044244
180	0.817036156247958
182	0.816370587269733
184	0.815729368801569
186	0.815110998083489
188	0.814514106320655
190	0.813937443278158
192	0.813379864022271
194	0.812840317459724
196	0.812317836390811
198	0.811811528843088
200	0.811320570493104
 
