Accel. voltage (V),Vp (V),Vs (V),Ip,Is,sqrt Vp,sqrt Vs
0,1.90E-03,6.00E-04,1.90E-07,6.00E-06,0.04358898944,0.02449489743
0.01,1.80E-03,6.00E-04,1.80E-07,6.00E-06,0.04242640687,0.02449489743
0.02,1.60E-03,5.00E-04,1.60E-07,5.00E-06,0.04,0.02236067977
0.03,1.50E-03,4.00E-04,1.50E-07,4.00E-06,0.03872983346,0.02
0.04,1.30E-03,4.00E-04,1.30E-07,4.00E-06,0.03605551275,0.02
0.05,1.20E-03,3.00E-04,1.20E-07,3.00E-06,0.03464101615,0.01732050808
0.06,1.00E-03,3.00E-04,1.00E-07,3.00E-06,0.0316227766,0.01732050808
0.07,9.00E-04,2.00E-04,9.00E-08,2.00E-06,0.03,0.01414213562
0.08,8.00E-04,2.00E-04,8.00E-08,2.00E-06,0.02828427125,0.01414213562
0.09,7.00E-04,2.00E-04,7.00E-08,2.00E-06,0.02645751311,0.01414213562
0.1,7.00E-04,2.00E-04,7.00E-08,2.00E-06,0.02645751311,0.01414213562
0.12,6.00E-04,1.00E-04,6.00E-08,1.00E-06,0.02449489743,0.01
0.14,4.00E-04,1.00E-04,4.00E-08,1.00E-06,0.02,0.01
0.16,3.00E-04,1.00E-04,3.00E-08,1.00E-06,0.01732050808,0.01
0.18,3.00E-04,0.00E+00,3.00E-08,0.00E+00,0.01732050808,0
0.2,2.00E-04,0.00E+00,2.00E-08,0.00E+00,0.01414213562,0
0.25,1.00E-04,0.00E+00,1.00E-08,0.00E+00,0.01,0
0.3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0
