Accel. voltage (V),Vp (V),Vs (V),Ip,Is,sqrt Vp,sqrt Vs
0,4.70E-03,2.20E-03,4.70E-07,2.20E-05,0.068556546,0.0469041576
0.05,5.40E-03,3.00E-03,5.40E-07,3.00E-05,0.07348469228,0.05477225575
0.1,6.00E-03,4.00E-03,6.00E-07,4.00E-05,0.07745966692,0.0632455532
0.15,6.70E-03,5.20E-03,6.70E-07,5.20E-05,0.08185352772,0.07211102551
0.2,8.10E-03,8.10E-03,8.10E-07,8.10E-05,0.09,0.09
0.25,9.00E-03,1.01E-02,9.00E-07,1.01E-04,0.09486832981,0.1004987562
0.3,9.80E-03,1.17E-02,9.80E-07,1.17E-04,0.09899494937,0.1081665383
0.35,1.06E-02,1.36E-02,1.06E-06,1.36E-04,0.1029563014,0.1166190379
0.4,1.16E-02,1.57E-02,1.16E-06,1.57E-04,0.1077032961,0.1252996409
0.45,1.24E-02,1.76E-02,1.24E-06,1.76E-04,0.1113552873,0.1326649916
0.5,1.33E-02,1.97E-02,1.33E-06,1.97E-04,0.1153256259,0.1403566885
0.55,1.42E-02,2.17E-02,1.42E-06,2.17E-04,0.1191637529,0.1473091986
0.6,1.52E-02,2.40E-02,1.52E-06,2.40E-04,0.1232882801,0.1549193338
0.65,1.62E-02,2.61E-02,1.62E-06,2.61E-04,0.1272792206,0.1615549442
0.7,1.71E-02,2.83E-02,1.71E-06,2.83E-04,0.1307669683,0.1682260384
0.75,1.82E-02,3.07E-02,1.82E-06,3.07E-04,0.1349073756,0.1752141547
0.8,1.91E-02,3.30E-02,1.91E-06,3.30E-04,0.1382027496,0.1816590212
0.85,2.01E-02,3.55E-02,2.01E-06,3.55E-04,0.1417744688,0.1884144368
0.9,2.12E-02,3.80E-02,2.12E-06,3.80E-04,0.1456021978,0.1949358869
0.95,2.22E-02,4.05E-02,2.22E-06,4.05E-04,0.1489966443,0.201246118
1,2.32E-02,4.31E-02,2.32E-06,4.31E-04,0.1523154621,0.2076053949
1.1,2.52E-02,4.82E-02,2.52E-06,4.82E-04,0.1587450787,0.219544984
1.2,2.73E-02,5.37E-02,2.73E-06,5.37E-04,0.1652271164,0.2317326045
1.3,2.94E-02,5.92E-02,2.94E-06,5.92E-04,0.171464282,0.2433105012
1.4,3.14E-02,6.46E-02,3.14E-06,6.46E-04,0.1772004515,0.2541653005
1.5,3.35E-02,7.05E-02,3.35E-06,7.05E-04,0.1830300522,0.2655183609
1.6,3.56E-02,7.65E-02,3.56E-06,7.65E-04,0.1886796226,0.2765863337
1.7,3.77E-02,8.25E-02,3.77E-06,8.25E-04,0.1941648784,0.2872281323
1.8,3.97E-02,8.87E-02,3.97E-06,8.87E-04,0.1992485885,0.2978254522
1.9,4.18E-02,9.50E-02,4.18E-06,9.50E-04,0.204450483,0.3082207001
2,4.40E-02,1.02E-01,4.40E-06,1.02E-03,0.2097617696,0.3190611227
2.1,4.61E-02,1.08E-01,4.61E-06,1.08E-03,0.2147091055,0.3289376841
2.2,4.82E-02,1.15E-01,4.82E-06,1.15E-03,0.219544984,0.3388214869
2.3,5.03E-02,1.22E-01,5.03E-06,1.22E-03,0.2242766149,0.3487119155
2.4,5.25E-02,1.28E-01,5.25E-06,1.28E-03,0.2291287847,0.3581898938
2.5,5.46E-02,1.35E-01,5.46E-06,1.35E-03,0.2336664289,0.367559519
2.6,5.68E-02,1.42E-01,5.68E-06,1.42E-03,0.2383275058,0.3762977544
2.7,5.91E-02,1.49E-01,5.91E-06,1.49E-03,0.2431049156,0.3856163897
2.8,6.15E-02,1.56E-01,6.15E-06,1.56E-03,0.2479919354,0.3945883931
2.9,6.33E-02,1.61E-01,6.33E-06,1.61E-03,0.2515949125,0.4011234224
3,6.61E-02,1.68E-01,6.61E-06,1.68E-03,0.2570992026,0.4101219331
3.5,8.04E-02,2.03E-01,8.04E-06,2.03E-03,0.2835489376,0.450555213
4,9.69E-02,0.24,9.69E-06,0.0024,0.3112876483,0.4898979486
4.5,1.16E-01,0.28,1.16E-05,0.0028,0.340147027,0.5291502622
5,1.34E-01,0.32,1.34E-05,0.0032,0.3661966685,0.5656854249
5.5,1.53E-01,0.364,1.53E-05,0.00364,0.3910242959,0.6033241252
6,1.72E-01,0.41,1.72E-05,0.0041,0.4142463035,0.6403124237
6.5,1.90E-01,0.458,1.90E-05,0.00458,0.4354308211,0.6767569726
7,0.206,0.508,0.0000206,0.00508,0.4538722287,0.7127411872
7.5,0.223,0.56,0.0000223,0.0056,0.4722287581,0.7483314774
8,0.243,0.614,0.0000243,0.00614,0.4929503018,0.783581521
8.5,0.265,0.669,0.0000265,0.00669,0.514781507,0.8179242019
9,0.289,0.729,0.0000289,0.00729,0.5375872022,0.8538149682
9.5,0.313,0.786,0.0000313,0.00786,0.5594640292,0.8865664104
10,0.335,0.845,0.0000335,0.00845,0.5787918451,0.9192388155
10.5,0.351,0.905,0.0000351,0.00905,0.5924525297,0.9513148795
11,0.364,0.964,0.0000364,0.00964,0.6033241252,0.9818350167
11.5,0.379,1.022,0.0000379,0.01022,0.6156297589,1.010940156
12,0.399,1.077,0.0000399,0.01077,0.6316644679,1.037786105
