Accel. voltage (V),Vp (V),Vs (V),Ip,Is,sqrt Vp,sqrt Vs
0,1.50E-03,1.30E-03,1.50E-07,1.30E-05,0.03872983346,0.03605551275
0.05,2.10E-03,1.80E-03,2.10E-07,1.80E-05,0.04582575695,0.04242640687
0.1,2.70E-03,2.50E-03,2.70E-07,2.50E-05,0.05196152423,0.05
0.15,3.50E-03,3.40E-03,3.50E-07,3.40E-05,0.05916079783,0.05830951895
0.2,4.20E-03,4.50E-03,4.20E-07,4.50E-05,0.06480740698,0.06708203932
0.25,5.10E-03,5.80E-03,5.10E-07,5.80E-05,0.07141428429,0.07615773106
0.3,5.80E-03,7.10E-03,5.80E-07,7.10E-05,0.07615773106,0.08426149773
0.35,6.70E-03,8.60E-03,6.70E-07,8.60E-05,0.08185352772,0.09273618495
0.4,7.50E-03,1.04E-02,7.50E-07,1.04E-04,0.08660254038,0.1019803903
0.45,8.30E-03,1.21E-02,8.30E-07,1.21E-04,0.09110433579,0.11
0.5,9.10E-03,1.39E-02,9.10E-07,1.39E-04,0.09539392014,0.1178982612
0.55,9.80E-03,1.58E-02,9.80E-07,1.58E-04,0.09899494937,0.1256980509
0.6,1.06E-02,1.78E-02,1.06E-06,1.78E-04,0.1029563014,0.1334166406
0.65,1.12E-02,1.99E-02,1.12E-06,1.99E-04,0.1058300524,0.1410673598
0.7,1.18E-02,2.20E-02,1.18E-06,2.20E-04,0.1086278049,0.1483239697
0.75,1.24E-02,2.42E-02,1.24E-06,2.42E-04,0.1113552873,0.1555634919
0.8,1.29E-02,2.64E-02,1.29E-06,2.64E-04,0.1135781669,0.1624807681
0.85,1.33E-02,2.88E-02,1.33E-06,2.88E-04,0.1153256259,0.1697056275
0.9,1.37E-02,3.12E-02,1.37E-06,3.12E-04,0.1170469991,0.1766352173
0.95,1.40E-02,3.36E-02,1.40E-06,3.36E-04,0.1183215957,0.1833030278
1,1.43E-02,3.60E-02,1.43E-06,3.60E-04,0.1195826074,0.1897366596
1.1,1.47E-02,4.09E-02,1.47E-06,4.09E-04,0.1212435565,0.2022374842
1.2,1.49E-02,4.62E-02,1.49E-06,4.62E-04,0.1220655562,0.2149418526
1.3,1.49E-02,5.16E-02,1.49E-06,5.16E-04,0.1220655562,0.2271563338
1.4,1.49E-02,5.68E-02,1.49E-06,5.68E-04,0.1220655562,0.2383275058
1.5,1.48E-02,6.24E-02,1.48E-06,6.24E-04,0.1216552506,0.2497999199
1.6,1.46E-02,6.82E-02,1.46E-06,6.82E-04,0.1208304597,0.2611512971
1.7,1.43E-02,7.39E-02,1.43E-06,7.39E-04,0.1195826074,0.2718455444
1.8,1.41E-02,7.98E-02,1.41E-06,7.98E-04,0.1187434209,0.2824889378
1.9,1.38E-02,8.60E-02,1.38E-06,8.60E-04,0.1174734012,0.293257566
2,1.35E-02,9.23E-02,1.35E-06,9.23E-04,0.1161895004,0.3038091506
2.1,1.32E-02,9.84E-02,1.32E-06,9.84E-04,0.1148912529,0.3136877428
2.2,1.29E-02,1.05E-01,1.29E-06,1.05E-03,0.1135781669,0.3234192326
2.3,1.26E-02,1.11E-01,1.26E-06,1.11E-03,0.1122497216,0.333166625
2.4,1.24E-02,1.17E-01,1.24E-06,1.17E-03,0.1113552873,0.3424908758
2.5,1.22E-02,1.24E-01,1.22E-06,1.24E-03,0.1104536102,0.3515679166
2.6,1.20E-02,1.30E-01,1.20E-06,1.30E-03,0.1095445115,0.3601388621
2.7,1.19E-02,1.36E-01,1.19E-06,1.36E-03,0.1090871211,0.3690528417
2.8,1.17E-02,1.43E-01,1.17E-06,1.43E-03,0.1081665383,0.3777565354
2.9,1.16E-02,1.49E-01,1.16E-06,1.49E-03,0.1077032961,0.3861346915
3,1.15E-02,1.56E-01,1.15E-06,1.56E-03,0.1072380529,0.3945883931
3.5,1.13E-02,1.89E-01,1.13E-06,1.89E-03,0.1063014581,0.4341658669
4,1.14E-02,0.219,1.14E-06,0.00219,0.1067707825,0.4679743583
4.5,1.16E-02,0.254,1.16E-06,0.00254,0.1077032961,0.5039841267
5,1.19E-02,0.288,1.19E-06,0.00288,0.1090871211,0.5366563146
5.5,1.24E-02,0.323,1.24E-06,0.00323,0.1113552873,0.5683308895
6,1.32E-02,0.36,1.32E-06,0.0036,0.1148912529,0.6
6.5,1.42E-02,0.399,1.42E-06,0.00399,0.1191637529,0.6316644679
7,1.56E-02,0.439,1.56E-06,0.00439,0.12489996,0.6625707509
7.5,1.71E-02,0.48,1.71E-06,0.0048,0.1307669683,0.692820323
8,1.91E-02,0.524,1.91E-06,0.00524,0.1382027496,0.7238784428
8.5,2.14E-02,0.568,2.14E-06,0.00568,0.1462873884,0.7536577473
9,2.46E-02,0.616,2.46E-06,0.00616,0.1568438714,0.7848566748
9.5,2.86E-02,0.663,2.86E-06,0.00663,0.1691153453,0.8142481194
10,3.37E-02,0.712,3.37E-06,0.00712,0.1835755975,0.8438009244
10.5,3.94E-02,0.763,3.94E-06,0.00763,0.1984943324,0.8734987121
11,4.66E-02,0.815,4.66E-06,0.00815,0.2158703314,0.9027735043
11.5,5.71E-02,0.873,5.71E-06,0.00873,0.2389560629,0.9343446901
12,7.75E-02,0.951,7.75E-06,0.00951,0.2783882181,0.9751922887
