Frequency (Hz),Hz^-1,Solenoid current (A) (±0.1mA),Pick-up voltage,Voltage ratio (V/f),Time lag (s),Phase shift,,"Values to get in lab: frequency at regular intervals, pick-up voltage, phase shift",
5000,2.00E-04,1.90E-02,5.83E-03,1.17E-06,2.00E-05,36,,,
7000,1.43E-04,1.90E-02,7.84E-03,1.12E-06,8.00E-06,20.16,,,
9000,1.11E-04,1.90E-02,9.64E-03,1.07E-06,8.00E-06,25.92,,diameter of rod:,0.95 ± 0.05
11000,9.09E-05,1.90E-02,1.13E-02,1.03E-06,8.00E-06,31.68,,length of rod:,46.2 ± 0.05
13000,7.69E-05,1.90E-02,1.29E-02,9.90E-07,4.00E-06,18.72,,diamter of solenoid:,4.3 ± 0.05
15000,6.67E-05,1.90E-02,1.42E-02,9.45E-07,8.00E-06,43.2,,length of solenoid:,40.5 ± 0.05
17000,5.88E-05,1.90E-02,1.55E-02,9.12E-07,4.00E-06,24.48,,,
19000,5.26E-05,1.90E-02,1.68E-02,8.86E-07,4.00E-06,27.36,,,
21000,4.76E-05,1.90E-02,1.83E-02,8.72E-07,4.00E-06,30.24,,,
23000,4.35E-05,1.90E-02,1.96E-02,8.53E-07,3.00E-06,24.84,,,
25000,4.00E-05,1.90E-02,2.10E-02,8.38E-07,3.00E-06,27,,,
27000,3.70E-05,1.90E-02,2.23E-02,8.26E-07,3.00E-06,29.16,,,
29000,3.45E-05,1.90E-02,2.36E-02,8.14E-07,3.00E-06,31.32,,,
31000,3.23E-05,1.90E-02,2.50E-02,8.06E-07,2.00E-06,22.32,,,
33000,3.03E-05,1.90E-02,2.64E-02,7.99E-07,2.00E-06,23.76,,,
35000,2.86E-05,1.90E-02,2.78E-02,7.93E-07,2.40E-06,30.24,,,
37000,2.70E-05,1.90E-02,2.93E-02,7.91E-07,2.00E-06,26.64,,,
39000,2.56E-05,1.90E-02,3.08E-02,7.89E-07,1.60E-06,22.464,,,
41000,2.44E-05,1.90E-02,3.23E-02,7.88E-07,1.80E-06,26.568,,,
43000,2.33E-05,1.90E-02,3.39E-02,7.89E-07,1.60E-06,24.768,,,
45000,2.22E-05,1.90E-02,3.57E-02,7.92E-07,1.80E-06,29.16,,,
47000,2.13E-05,1.90E-02,3.74E-02,7.95E-07,1.80E-06,30.456,,,
49000,2.04E-05,1.90E-02,3.92E-02,8.00E-07,1.40E-06,24.696,,,
51000,1.96E-05,1.90E-02,4.12E-02,8.07E-07,1.40E-06,25.704,,,
53000,1.89E-05,1.90E-02,4.31E-02,8.13E-07,1.60E-06,30.528,,,
55000,1.82E-05,1.90E-02,4.53E-02,8.23E-07,1.40E-06,27.72,,,
57000,1.75E-05,1.90E-02,4.74E-02,8.32E-07,1.60E-06,32.832,,,
59000,1.69E-05,1.90E-02,4.97E-02,8.43E-07,1.20E-06,25.488,,,
61000,1.64E-05,1.90E-02,5.19E-02,8.51E-07,1.00E-06,21.96,,,
