Frequency (Hz),Hz^-1,Solenoid current (A) (±0.1mA),Pick-up voltage,Voltage ratio (V/f),Time lag (s),Phase shift,,"Values to get in lab: frequency at regular intervals, pick-up voltage, phase shift",
5000,2.00E-04,1.90E-02,7.13E-03,1.43E-06,1.10E-04,198,,,
8000,1.25E-04,1.90E-02,1.01E-02,1.26E-06,7.10E-05,204.48,,,
11000,9.09E-05,1.90E-02,1.28E-02,1.16E-06,5.20E-05,205.92,,diameter of rod:,0.9 ± 0.05
14000,7.14E-05,1.90E-02,1.48E-02,1.06E-06,4.10E-05,206.64,,length of rod:,45.8 ± 0.05
17000,5.88E-05,1.90E-02,1.71E-02,1.01E-06,3.40E-05,208.08,,diamter of solenoid:,4.3 ± 0.05
20000,5.00E-05,1.90E-02,1.92E-02,9.62E-07,2.88E-05,207.36,,length of solenoid:,40.5 ± 0.05
23000,4.35E-05,1.90E-02,2.13E-02,9.25E-07,2.52E-05,208.656,,,
26000,3.85E-05,1.90E-02,2.32E-02,8.92E-07,2.24E-05,209.664,,,
29000,3.45E-05,1.90E-02,2.55E-02,8.78E-07,2.00E-05,208.8,,,
32000,3.13E-05,1.90E-02,2.77E-02,8.65E-07,1.82E-05,209.664,,,
35000,2.86E-05,1.90E-02,2.99E-02,8.53E-07,1.70E-05,214.2,,,
38000,2.63E-05,1.90E-02,3.20E-02,8.42E-07,1.54E-05,210.672,,,
41000,2.44E-05,1.90E-02,3.41E-02,8.31E-07,1.46E-05,215.496,,,
44000,2.27E-05,1.90E-02,3.67E-02,8.34E-07,1.34E-05,212.256,,,
47000,2.13E-05,1.90E-02,3.93E-02,8.36E-07,1.28E-05,216.576,,,
50000,2.00E-05,1.90E-02,4.21E-02,8.42E-07,1.20E-05,216,,,
53000,1.89E-05,1.90E-02,4.50E-02,8.48E-07,1.14E-05,217.512,,,
56000,1.79E-05,1.90E-02,4.83E-02,8.63E-07,1.06E-05,213.696,,,
59000,1.69E-05,1.90E-02,5.17E-02,8.76E-07,1.04E-05,220.896,,,
62000,1.61E-05,1.90E-02,5.54E-02,8.93E-07,1.00E-05,223.2,,,
