Frequency (Hz),Hz^-1,Solenoid current (A) (±0.1mA),Pick-up voltage,Voltage ratio (V/f),Time lag (s),Phase shift,,"Values to get in lab: frequency at regular intervals, pick-up voltage, phase shift",
5000,2.00E-04,1.90E-02,3.98E-03,7.96E-07,1.08E-04,194.4,,,
8000,1.25E-04,1.90E-02,6.39E-03,7.99E-07,6.90E-05,198.72,,,
11000,9.09E-05,1.90E-02,8.64E-03,7.85E-07,5.00E-05,198,,diameter of rod:,1.00 ± 0.05
14000,7.14E-05,1.90E-02,1.08E-02,7.73E-07,3.90E-05,196.56,,length of rod:,45.7 ± 0.05
17000,5.88E-05,1.90E-02,1.29E-02,7.59E-07,3.40E-05,208.08,,diamter of solenoid:,4.3 ± 0.05
20000,5.00E-05,1.90E-02,1.47E-02,7.35E-07,2.84E-05,204.48,,length of solenoid:,40.5 ± 0.05
23000,4.35E-05,1.90E-02,1.65E-02,7.19E-07,2.44E-05,202.032,,,
26000,3.85E-05,1.90E-02,1.87E-02,7.17E-07,2.16E-05,202.176,,,
29000,3.45E-05,1.90E-02,2.06E-02,7.10E-07,1.96E-05,204.624,,,
32000,3.13E-05,1.90E-02,2.26E-02,7.06E-07,1.76E-05,202.752,,,
35000,2.86E-05,1.90E-02,2.46E-02,7.03E-07,1.60E-05,201.6,,,
38000,2.63E-05,1.90E-02,2.68E-02,7.05E-07,1.50E-05,205.2,,,
41000,2.44E-05,1.90E-02,2.90E-02,7.08E-07,1.36E-05,200.736,,,
44000,2.27E-05,1.90E-02,3.15E-02,7.15E-07,1.28E-05,202.752,,,
47000,2.13E-05,1.90E-02,3.39E-02,7.21E-07,1.20E-05,203.04,,,
50000,2.00E-05,1.90E-02,3.67E-02,7.33E-07,1.14E-05,205.2,,,
53000,1.89E-05,1.90E-02,3.95E-02,7.46E-07,1.08E-05,206.064,,,
56000,1.79E-05,1.90E-02,4.26E-02,7.60E-07,1.04E-05,209.664,,,
59000,1.69E-05,1.90E-02,4.59E-02,7.78E-07,9.80E-06,208.152,,,
62000,1.61E-05,1.90E-02,4.95E-02,7.99E-07,1.00E-05,223.2,,,
