Frequency (Hz),Hz^-1,Solenoid current (A) (±0.1mA),Pick-up voltage,Voltage ratio (V/f),Time lag (s),Phase shift,,"Values to get in lab: frequency at regular intervals, pick-up voltage, phase shift",
5000,2.00E-04,1.90E-02,1.14E-01,2.28E-05,1.40E-05,25.2,,,
8000,1.25E-04,1.90E-02,1.46E-01,1.83E-05,1.00E-05,28.8,,,
11000,9.09E-05,1.90E-02,1.73E-01,1.57E-05,8.00E-06,31.68,,diameter of rod:,0.85 ± 0.05
14000,7.14E-05,1.90E-02,1.97E-01,1.41E-05,7.00E-06,35.28,,length of rod:,44.1 ± 0.05
17000,5.88E-05,1.90E-02,2.20E-01,1.30E-05,5.00E-06,30.6,,diamter of solenoid:,4.3 ± 0.05
20000,5.00E-05,1.90E-02,2.42E-01,1.21E-05,5.20E-06,37.44,,length of solenoid:,40.5 ± 0.05
23000,4.35E-05,1.90E-02,2.64E-01,1.15E-05,4.40E-06,36.432,,,
26000,3.85E-05,1.90E-02,2.84E-01,1.09E-05,4.00E-06,37.44,,,
29000,3.45E-05,1.90E-02,3.06E-01,1.05E-05,3.60E-06,37.584,,,
32000,3.13E-05,1.90E-02,3.27E-01,1.02E-05,3.20E-06,36.864,,,
35000,2.86E-05,1.90E-02,3.48E-01,9.95E-06,3.00E-06,37.8,,,
38000,2.63E-05,1.90E-02,3.70E-01,9.75E-06,3.00E-06,41.04,,,
41000,2.44E-05,1.90E-02,3.94E-01,9.62E-06,2.80E-06,41.328,,,
44000,2.27E-05,1.90E-02,4.20E-01,9.54E-06,2.60E-06,41.184,,,
47000,2.13E-05,1.90E-02,4.47E-01,9.50E-06,2.60E-06,43.992,,,
50000,2.00E-05,1.90E-02,4.74E-01,9.49E-06,2.40E-06,43.2,,,
53000,1.89E-05,1.90E-02,5.00E-01,9.44E-06,2.40E-06,45.792,,,
56000,1.79E-05,1.90E-02,5.32E-01,9.49E-06,2.20E-06,44.352,,,
59000,1.69E-05,1.90E-02,5.64E-01,9.55E-06,2.00E-06,42.48,,,
62000,1.61E-05,1.90E-02,6.05E-01,9.76E-06,2.60E-06,58.032,,,
