,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C)
,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16
Time (mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,32.05,32.01,31.68,31.7,30.24,30.41,30.96,30.42,31.8,30.75,31.24,30.57,30.7,30.68,31.13,30.11,305.2,305.16,304.83,304.85,303.39,303.56,304.11,303.57,304.95,303.9,304.39,303.72,303.85,303.83,304.28,303.26,0.61,0.62,0.61,0.61,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.64,0.62,0.62,0.62,0.62
1.0,32.05,32.01,31.92,31.46,30.24,30.16,30.72,30.17,31.55,30.5,31.0,30.32,30.45,30.43,30.89,30.11,305.2,305.16,305.07,304.61,303.39,303.31,303.87,303.32,304.7,303.65,304.15,303.47,303.6,303.58,304.04,303.26,0.61,0.62,0.61,0.62,0.62,0.63,0.62,0.63,0.63,0.63,0.64,0.64,0.62,0.62,0.62,0.62
2.0,32.29,32.26,31.92,31.7,29.99,30.16,30.48,30.17,31.55,30.5,31.0,30.32,30.21,30.43,30.65,29.87,305.44,305.41,305.07,304.85,303.14,303.31,303.63,303.32,304.7,303.65,304.15,303.47,303.36,303.58,303.8,303.02,0.6,0.61,0.61,0.61,0.62,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.63,0.62,0.63,0.62
3.0,32.77,32.5,32.16,31.94,29.99,29.91,30.48,29.92,31.31,30.24,30.75,30.06,30.21,30.19,30.65,29.62,305.92,305.65,305.31,305.09,303.14,303.06,303.63,303.07,304.46,303.39,303.9,303.21,303.36,303.34,303.8,302.77,0.59,0.61,0.6,0.61,0.62,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.63,0.63,0.63,0.63
4.0,33.49,32.98,32.63,32.18,29.99,29.91,30.48,29.92,31.06,30.24,30.75,30.06,30.21,29.94,30.65,29.62,306.64,306.13,305.78,305.33,303.14,303.06,303.63,303.07,304.21,303.39,303.9,303.21,303.36,303.09,303.8,302.77,0.58,0.6,0.59,0.6,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63
5.0,34.45,33.71,33.35,32.66,29.99,29.91,30.48,29.92,30.81,29.99,30.5,30.06,29.96,29.94,30.41,29.62,307.6,306.86,306.5,305.81,303.14,303.06,303.63,303.07,303.96,303.14,303.65,303.21,303.11,303.09,303.56,302.77,0.56,0.58,0.58,0.59,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63
6.0,35.65,34.92,34.07,33.39,30.24,29.91,30.48,29.92,30.81,29.99,30.5,30.06,29.96,29.94,30.41,29.37,308.8,308.07,307.22,306.54,303.39,303.06,303.63,303.07,303.96,303.14,303.65,303.21,303.11,303.09,303.56,302.52,0.54,0.56,0.56,0.58,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63
7.0,37.33,36.13,35.02,34.35,30.49,29.91,30.48,29.92,31.06,29.99,30.5,29.81,29.96,29.7,30.41,29.37,310.48,309.28,308.17,307.5,303.64,303.06,303.63,303.07,304.21,303.14,303.65,302.96,303.11,302.85,303.56,302.52,0.51,0.54,0.55,0.56,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.65,0.63,0.64,0.63,0.63
