TCouple,m (C/V),sigma_m,c (C),sigma_c
1,31.4201,0.6199,23.5024,0.5966
2,31.6219,0.6238,23.724,0.5932
3,31.3196,0.6179,23.3561,0.5988
4,31.3226,0.6179,23.5892,0.5953
5,30.8565,0.6089,24.4498,0.5823
6,31.051,0.6126,24.4679,0.582
7,31.0862,0.6133,23.6522,0.5944
8,31.0574,0.6127,24.3245,0.5841
9,31.6508,0.6245,24.3006,0.5845
10,31.351,0.6185,24.7002,0.5785
11,31.6125,0.6237,24.1059,0.5875
12,31.4322,0.6201,24.6543,0.5792
13,31.0608,0.6128,23.9839,0.5893
14,31.0607,0.6128,24.0076,0.5889
15,31.2542,0.6165,23.4353,0.5976
16,30.7427,0.6064,24.1047,0.5874
